Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Take Profit,Position Size,P&L,P&L %,Exit Reason,Signal Strength,Actual R/R
GOOGL,2022-10-25,2022-10-26,103.86,97.64,97.64,113.18,32,-198.94,-5.99,stop_loss,61,1.0
GOOGL,2022-10-26,2022-11-01,94.36,89.93,87.09,105.28,17,-75.37,-4.7,signal_reversal,55,0.61
GOOGL,2022-11-22,2022-12-12,96.47,92.75,90.21,105.86,15,-55.77,-3.85,time_stop,65,0.59
GOOGL,2023-01-31,2023-02-02,98.25,106.65,92.65,106.65,11,92.34,8.54,take_profit,50,1.5
GOOGL,2023-03-29,2023-04-18,100.79,103.88,94.64,110.01,7,21.64,3.07,time_stop,65,0.5
GOOGL,2023-04-06,2023-04-26,107.77,102.4,102.4,115.83,5,-26.85,-4.98,stop_loss,51,1.0
GOOGL,2023-04-12,2023-05-02,104.02,104.69,98.83,111.8,4,2.7,0.65,time_stop,50,0.13
GOOGL,2023-05-10,2023-05-16,111.08,119.39,105.55,119.39,2,16.61,7.48,take_profit,73,1.5
GOOGL,2023-07-26,2023-08-15,128.5,129.01,121.44,139.09,1,0.51,0.39,time_stop,53,0.07
GOOGL,2023-08-29,2023-09-18,133.77,137.39,127.66,142.93,1,3.62,2.7,time_stop,73,0.59
